Extension,MimeType
.3g2,video/3gpp2
.3gp,video/3gpp
.7z,application/x-7z-compressed
.aac,audio/aac
.ai,application/postscript
.aif,audio/x-aiff
.aiff,audio/x-aiff
.amr,audio/amr
.au,audio/basic
.avi,video/x-msvideo
.avif,image/avif
.bat,text/plain
.bin,application/octet-stream
.bmp,image/bmp
.bz2,application/x-bzip2
.cab,application/vnd.ms-cab-compressed
.cfg,text/plain
.com,application/octet-stream
.conf,text/plain
.cr2,image/x-canon-cr2
.css,text/css
.csv,text/csv
.dds,image/vnd-ms.dds
.dll,application/octet-stream
.dmg,application/x-apple-diskimage
.dng,image/x-adobe-dng
.doc,application/msword
.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
.eps,application/postscript
.epub,application/epub+zip
.exe,application/octet-stream
.exr,image/x-exr
.f4v,video/x-f4v
.flac,audio/flac
.flv,video/x-flv
.gif,image/gif
.gz,application/gzip
.hdr,image/vnd.radiance
.heic,image/heic
.heif,image/heif
.htm,text/html
.html,text/html
.ico,image/vnd.microsoft.icon
.img,application/x-img
.ini,text/plain
.iso,application/x-iso9660-image
.jar,application/java-archive
.jpeg,image/jpeg
.jpg,image/jpeg
.js,text/javascript
.json,application/json
.key,application/x-iwork-keynote-smd
.latex,application/x-latex
.log,text/plain
.lz,application/x-lzip
.lzma,application/x-lzma
.m3u8,application/x-mpegURL
.m4a,audio/mp4
.m4v,video/x-m4v
.markdown,text/markdown
.md,text/markdown
.mid,audio/midi
.midi,audio/midi
.mjs,text/javascript
.mka,audio/x-matroska
.mkv,video/x-matroska
.mov,video/quicktime
.mp3,audio/mpeg
.mp4,video/mp4
.mpeg,video/mpeg
.msi,application/octet-stream
.nef,image/x-nikon-nef
.odg,application/vnd.oasis.opendocument.graphics
.odp,application/vnd.oasis.opendocument.presentation
.ods,application/vnd.oasis.opendocument.spreadsheet
.odt,application/vnd.oasis.opendocument.text
.oga,audio/ogg
.ogg,audio/ogg
.ogv,video/ogg
.opus,audio/opus
.otf,font/otf
.pbm,image/x-portable-bitmap
.pdf,application/pdf
.pgm,image/x-portable-graymap
.png,image/png
.ppm,image/x-portable-pixmap
.ppt,application/vnd.ms-powerpoint
.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
.ps,application/postscript
.ps1,text/plain
.psd,image/vnd.adobe.photoshop
.rar,application/vnd.rar
.raw,image/x-panasonic-raw
.rtf,application/rtf
.sh,text/plain
.snd,audio/basic
.so,application/octet-stream
.svg,image/svg+xml
.tar,application/x-tar
.tar.gz,application/gzip
.tbz2,application/x-bzip2
.tex,application/x-tex
.tga,image/x-tga
.tgz,application/gzip
.tif,image/tiff
.tiff,image/tiff
.toml,application/toml
.ts,video/mp2t
.ttf,font/ttf
.txt,text/plain
.txz,application/x-xz
.vob,video/x-ms-vob
.war,application/java-archive
.wav,audio/wav
.webm,video/webm
.webp,image/webp
.wks,application/vnd.ms-works
.wma,audio/x-ms-wma
.wmv,video/x-ms-wmv
.woff,font/woff
.woff2,font/woff2
.wpd,application/x-wordperfect
.xls,application/vnd.ms-excel
.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xml,application/xml
.xz,application/x-xz
.yaml,application/x-yaml
.yml,application/x-yaml
.z,application/x-compress
.zip,application/zip
